,horizon,mse,rmse,mae,mape,mdape,smape,coverage,indc
2679,31 days,1.17271223679565,1.082918388797443,0.8897300949423975,0.587366894376473,0.48718630792534046,0.48856467217229393,0.7609427609427609,0
2679,31 days,1.209394497010146,1.0997247369274485,0.9007270509908264,0.5943734651193134,0.49967380285753504,0.48645827469671543,0.7643097643097643,1
2679,31 days,1.2005512272673837,1.0956966857973898,0.8980997920734377,0.5927096489085715,0.49418037979804974,0.48734809826082803,0.7609427609427609,2
2679,31 days,1.2062321501065998,1.0982860056044599,0.9027871597503744,0.5960255975539174,0.49528381972492064,0.4965011838062672,0.7643097643097643,3
2679,31 days,1.2543447397871652,1.1199753299904267,0.9171783334783002,0.6052077402021103,0.5105494047753661,0.493761538821689,0.7441077441077442,4
2679,31 days,1.2240020282251658,1.106346251507712,0.9081604446859795,0.5994953082254003,0.49458007270779625,0.49713398112827545,0.7542087542087542,5
2679,31 days,1.2039144033981422,1.0972303328828192,0.9021077696746678,0.595596485471014,0.49673474698407066,0.4968205991139667,0.7508417508417509,6
2679,31 days,1.2210592240511373,1.1050154858874772,0.9074018716963637,0.5990159873870171,0.494592244798213,0.4972265744493533,0.7508417508417509,7
2679,31 days,1.218471068063654,1.1038437697716348,0.9063590886411896,0.5983322378482168,0.4956568624090476,0.49700512925821244,0.7542087542087542,8
2679,31 days,1.952786720411357,1.3974214541115924,1.1437198341215546,0.7509075116743275,0.6619751886127806,0.5062382108025558,0.6026936026936027,9
2679,31 days,1.7716921081902224,1.3310492508507048,1.0835936052810151,0.7118804517176017,0.6292452241833452,0.49405234488210215,0.6161616161616161,10
2679,31 days,1.779238153392443,1.3338808617685625,1.0861354588666132,0.713526822100708,0.6264158347517862,0.4945553145862658,0.6161616161616161,11
2679,31 days,1.9397123852282945,1.3927355762054383,1.1377273979379037,0.7470496111049216,0.6532637603611321,0.5068736352267597,0.5993265993265994,12
2679,31 days,1.773635593752788,1.331779108468363,1.0828070432141597,0.7114638221422455,0.6235446163410757,0.49661290191868124,0.6195286195286195,13
2679,31 days,1.7690012363276277,1.3300380582252629,1.0812426825405836,0.710452113256743,0.621877624023582,0.4963236712367275,0.6195286195286195,14
2679,31 days,1.9532359996111486,1.397582197801313,1.1420555117009952,0.7498583295746579,0.6570407895343666,0.5077668173241262,0.6127946127946128,15
2679,31 days,1.7810662368346029,1.334565935738884,1.0853026580933292,0.7130786830115844,0.6263377267758531,0.4970788745055315,0.6161616161616161,16
2679,31 days,1.7847634114658673,1.3359503776210655,1.0865633643077932,0.7138924052290564,0.627653080790897,0.49730401402031155,0.6094276094276094,17
2679,31 days,2.168977726882846,1.4727449632855125,1.2128432722482942,0.7959784508741927,0.7280912874244935,0.5226462534436447,0.6296296296296297,18
2679,31 days,1.894445985680521,1.3763887480216195,1.124290272612561,0.7382675891008685,0.6406032824685148,0.5023758820960605,0.6430976430976431,19
2679,31 days,1.892905125713261,1.3758288867854391,1.1238144046784146,0.7379567029813074,0.6402917336613908,0.5022706980313539,0.632996632996633,20
2679,31 days,2.192815567348698,1.4808158451842344,1.2180228225758625,0.7993351086509194,0.7253211087002532,0.5249599109802637,0.6161616161616161,21
2679,31 days,1.914370283430752,1.3836077057572178,1.129355621943614,0.7416046681925623,0.6405253930337763,0.5055726862525024,0.622895622895623,22
2679,31 days,1.8752444144203477,1.3693956383822565,1.1167004393372473,0.7333952963743999,0.6292659903649233,0.503070563638148,0.6363636363636364,23
2679,31 days,2.2184069560796638,1.4894317561001793,1.226029081173304,0.8045622634406514,0.732983947022144,0.5268895844285807,0.6296296296296297,24
2679,31 days,1.878807912334288,1.370696141504122,1.117810728913638,0.7341163216489314,0.6302937078578991,0.5032684468071724,0.6262626262626263,25
2679,31 days,1.9039286269059499,1.3798292020775433,1.1259658291960277,0.7394042317222599,0.6375708600640487,0.5048717010328141,0.6161616161616161,26
2679,31 days,1.1207823137726447,1.0586700684220012,0.8586301933499185,0.5654756817160177,0.4890677994985913,0.4364085572717411,0.7777777777777778,27
2679,31 days,1.1525503823270924,1.0735689928118697,0.8704401056063396,0.5732444320270071,0.4971026759207011,0.44191621643581397,0.7575757575757576,28
2679,31 days,1.1951914309017855,1.09324811040394,0.8860235407528133,0.5833746402986714,0.5056308415773018,0.44542199275412603,0.7474747474747475,29
2679,31 days,1.1892276837997395,1.0905171634594935,0.8891735782447204,0.5862679671448205,0.49984642307293925,0.46712312650713583,0.7710437710437711,30
2679,31 days,1.1959738057210287,1.093605873119301,0.8901837380971145,0.5868290199917161,0.4952819885832855,0.4656578052820847,0.7508417508417509,31
2679,31 days,1.2318276808955149,1.109877326958036,0.9029366380271506,0.5951381050360399,0.5006207136665771,0.4692721673687733,0.7508417508417509,32
2679,31 days,1.2151775202838084,1.1023509061473158,0.8980977574631253,0.5920617090932082,0.4998402225521341,0.4688966302209467,0.7575757575757576,33
2679,31 days,1.242453954048006,1.1146541858567642,0.9070654130045637,0.5978505306003508,0.5052230109705727,0.47079981741462135,0.734006734006734,34
2679,31 days,1.2321120245721102,1.1100054164607083,0.9029100652272114,0.5951019930183588,0.5024152777743502,0.4686726747067322,0.7441077441077442,35
2679,31 days,2.20583824396772,1.485206465097604,1.2141556591593474,0.7968123632491498,0.7011623591982699,0.5327149265763186,0.5925925925925926,36
2679,31 days,1.8786286713707336,1.3706307567579,1.1167579894980222,0.7334247656961111,0.6424766567354396,0.5064611414665342,0.6195286195286195,37
2679,31 days,1.886838473515934,1.3736223911672139,1.1193120646981523,0.7350832298933304,0.6431218739843734,0.507143186886907,0.6127946127946128,38
2679,31 days,2.24235159599775,1.497448361713268,1.2187329423291648,0.8001564016223113,0.7089952185456616,0.5470336996170132,0.5959595959595959,39
2679,31 days,1.9258767499967704,1.3877596153501406,1.126552656228766,0.7402255254716448,0.640017169021973,0.5217618557446047,0.6094276094276094,40
2679,31 days,1.9457528463125584,1.3949024504647478,1.1325601053911776,0.7441199988716024,0.6448774937650883,0.5232859855894759,0.6195286195286195,41
2679,31 days,2.265668643755421,1.505213819945665,1.225300456594185,0.8044225506077656,0.7142285203398294,0.5486789900917698,0.5959595959595959,42
2679,31 days,1.937853792653525,1.3920681709792537,1.1301664990478764,0.7425690863294877,0.6429123257679249,0.5226870810131324,0.6094276094276094,43
2679,31 days,1.953464579129127,1.3976639721796964,1.1348926029941595,0.7456312458216253,0.6467253133694062,0.5238868182228368,0.6127946127946128,44
2679,31 days,2.577940378707736,1.6055965803114232,1.3168934213259156,0.8636420945873982,0.7788096233777508,0.5589004143196955,0.6363636363636364,45
2679,31 days,2.112028141216381,1.4532818519531512,1.1876467607988797,0.779490808652452,0.674704863677317,0.52551271387965,0.6262626262626263,46
2679,31 days,2.1098376755055974,1.4525280291634985,1.1870382307608205,0.7790912120671584,0.6740025950114193,0.5253971525209584,0.632996632996633,47
2679,31 days,2.588267181555758,1.6088092433709342,1.3136956628880019,0.8618297185758829,0.7593257087701759,0.5703335726351415,0.6397306397306397,48
2679,31 days,2.2020696449030654,1.4839372105662239,1.2083808949898907,0.7932889295999717,0.7018132237596042,0.5427334979003086,0.6599326599326599,49
2679,31 days,2.1627950270882463,1.4706444257835565,1.197008334839468,0.7858984513461836,0.6934119475629758,0.5397505652426634,0.6296296296296297,50
2679,31 days,2.585609758283928,1.6079831337062984,1.312964418833085,0.8613564041333991,0.7584809223615003,0.5702100219830544,0.6363636363636364,51
2679,31 days,2.1353475738777936,1.4612828521124148,1.1891071098941852,0.7807716577146957,0.6870063510542572,0.5378261169084002,0.6666666666666666,52
2679,31 days,2.185752090804653,1.4784289265313544,1.2037077780188954,0.7902485832495146,0.6984014102605092,0.5415066191030442,0.6262626262626263,53
